date,trade,sell,buy
20160105,12,0,12
20160106,15,1,14
20160107,18,3,15
20160108,18,8,10
20160111,14,5,9
20160112,17,1,16
20160113,17,3,14
20160114,15,5,10
20160115,16,3,13
20160119,17,4,13
20160120,18,5,13
20160121,17,3,14
20160122,19,7,12
20160125,18,5,13
20160126,17,7,10
20160127,18,6,12
20160128,18,3,15
20160129,19,8,11
20160201,18,5,13
20160202,17,7,10
20160203,17,5,12
20160204,18,3,15
20160205,20,5,15
20160208,14,4,10
20160209,20,2,18
20160210,18,5,13
20160211,18,2,16
20160212,17,5,12
20160216,19,5,14
20160217,18,3,15
20160218,15,5,10
20160219,16,4,12
20160222,15,2,13
20160223,13,4,9
20160224,16,5,11
20160225,19,6,13
20160226,15,3,12
20160229,14,4,10
20160301,17,3,14
20160302,18,5,13
20160303,17,3,14
20160304,18,5,13
20160307,18,9,9
20160308,15,5,10
20160309,14,6,8
20160310,16,4,12
20160311,15,3,12
20160314,17,4,13
20160315,17,5,12
20160316,16,4,12
20160317,18,4,14
20160318,17,4,13
20160321,16,5,11
20160322,15,2,13
20160323,18,4,14
20160324,16,1,15
20160328,15,2,13
20160329,19,4,15
20160330,14,5,9
20160331,17,5,12
20160401,19,4,15
20160404,15,2,13
20160405,18,3,15
