date,trade,sell,buy
20160406,18,8,10
20160407,17,10,7
20160408,19,12,7
20160411,20,13,7
20160412,17,8,9
20160413,19,7,12
20160414,21,12,9
20160415,15,10,5
20160418,17,9,8
20160419,18,11,7
20160420,18,10,8
20160421,18,10,8
20160422,21,14,7
20160425,18,10,8
20160426,16,10,6
20160427,19,14,5
20160428,19,11,8
20160429,17,12,5
20160502,20,10,10
20160503,18,10,8
20160504,19,9,10
20160505,18,11,7
20160506,19,11,8
20160509,20,12,8
20160510,22,13,9
20160511,18,12,6
20160512,19,11,8
20160513,17,10,7
20160516,19,9,10
20160517,18,11,7
20160518,21,13,8
20160519,18,13,5
20160520,18,5,13
20160523,19,9,10
20160524,19,11,8
20160525,17,9,8
20160526,20,14,6
20160527,23,11,12
20160531,17,10,7
20160601,17,10,7
20160602,22,12,10
20160603,21,15,6
20160606,17,11,6
20160607,20,10,10
20160608,18,13,5
20160609,19,15,4
20160610,19,11,8
20160613,20,11,9
20160614,20,13,7
20160615,18,9,9
20160616,21,9,12
20160617,19,11,8
20160620,22,8,14
20160621,21,13,8
20160622,19,9,10
20160623,19,9,10
20160624,19,11,8
20160627,18,9,9
20160628,17,6,11
20160629,19,11,8
20160630,17,9,8
20160701,19,10,9
20160705,19,11,8
