date,trade,sell,buy
20170706,25,10,15
20170707,23,11,12
20170710,22,12,10
20170711,21,9,12
20170712,25,13,12
20170713,24,12,12
20170714,23,9,14
20170717,25,11,14
20170718,22,14,8
20170719,24,10,14
20170720,22,11,11
20170721,23,8,15
20170724,18,5,13
20170725,21,9,12
20170726,23,6,17
20170727,22,12,10
20170728,26,26,0
20170731,12,0,12
20170801,17,4,13
20170802,17,3,14
20170803,20,3,17
20170804,23,13,10
20170807,20,6,14
20170808,18,4,14
20170809,20,8,12
20170810,21,7,14
20170811,18,3,15
20170814,19,6,13
20170815,20,5,15
20170816,19,6,13
20170817,21,6,15
20170818,21,5,16
20170821,21,9,12
20170822,21,9,12
20170823,19,9,10
20170824,23,11,12
20170825,20,6,14
20170828,24,11,13
20170829,23,5,18
20170830,21,9,12
20170831,20,8,12
20170901,19,3,16
20170905,18,8,10
20170906,19,7,12
20170907,20,7,13
20170908,22,5,17
20170911,20,4,16
20170912,20,8,12
20170913,22,8,14
20170914,23,6,17
20170915,18,9,9
20170918,22,9,13
20170919,18,5,13
20170920,17,7,10
20170921,18,5,13
20170922,19,6,13
20170925,21,7,14
20170926,20,7,13
20170927,20,8,12
20170928,23,8,15
20170929,23,9,14
20171002,19,5,14
20171003,24,8,16
