date,trade,sell,buy
20170719,25,10,15
20170720,22,11,11
20170721,19,8,11
20170724,18,10,8
20170725,21,9,12
20170726,20,10,10
20170727,21,11,10
20170728,20,9,11
20170731,20,10,10
20170801,20,8,12
20170802,22,7,15
20170803,20,11,9
20170804,20,8,12
20170807,19,9,10
20170808,20,8,12
20170809,20,8,12
20170810,21,9,12
20170811,22,6,16
20170814,21,10,11
20170816,19,6,13
20170817,21,11,10
20170818,20,9,11
20170821,22,8,14
20170822,21,8,13
20170823,20,9,11
20170824,18,4,14
20170825,19,8,11
20170828,18,8,10
20170829,21,10,11
20170830,21,11,10
20170831,21,8,13
20170901,20,7,13
20170904,17,5,12
20170905,17,4,13
20170906,18,9,9
20170907,20,8,12
20170908,18,6,12
20170911,18,6,12
20170912,19,5,14
20170913,18,6,12
20170914,20,8,12
20170915,21,10,11
20170918,19,6,13
20170919,19,8,11
20170920,20,8,12
20170921,18,7,11
20170922,16,6,10
20170925,18,5,13
20170926,20,4,16
20170927,18,5,13
20170928,20,7,13
20170929,19,7,12
20171010,20,4,16
20171011,17,6,11
20171012,19,8,11
20171013,17,5,12
20171016,17,7,10
20171017,18,7,11
20171018,17,4,13
20171019,22,6,16
20171020,19,9,10
20171023,19,10,9
