date,trade,sell,buy
20180406,24,13,11
20180409,20,12,8
20180410,20,8,12
20180411,19,8,11
20180412,19,7,12
20180413,21,11,10
20180416,18,6,12
20180417,18,5,13
20180418,16,5,11
20180419,20,4,16
20180420,19,19,0
20180423,0,0,0
20180424,0,0,0
20180425,0,0,0
20180426,0,0,0
20180427,0,0,0
20180430,0,0,0
20180501,0,0,0
20180502,0,0,0
20180503,0,0,0
20180504,0,0,0
20180507,0,0,0
20180508,0,0,0
20180509,0,0,0
20180510,0,0,0
20180511,0,0,0
20180514,0,0,0
20180515,0,0,0
20180516,12,0,12
20180517,12,12,0
20180518,11,0,11
20180521,13,0,13
20180522,13,2,11
20180523,14,2,12
20180524,16,6,10
20180525,12,1,11
20180529,14,5,9
20180530,13,2,11
20180531,15,7,8
20180601,14,6,8
20180604,13,1,12
20180605,14,3,11
20180606,15,6,9
20180607,18,3,15
20180608,16,5,11
20180611,17,4,13
20180612,15,4,11
20180613,15,5,10
20180614,13,1,12
20180615,15,1,14
20180618,13,3,10
20180619,14,4,10
20180620,14,4,10
20180621,14,4,10
20180622,15,4,11
20180625,15,5,10
20180626,15,1,14
20180627,14,3,11
20180628,13,0,13
20180629,17,5,12
20180702,17,17,0
20180703,0,0,0
20180705,10,0,10
