date,trade,sell,buy
20170405,23,9,14
20170406,23,11,12
20170407,23,10,13
20170410,24,11,13
20170411,23,10,13
20170412,23,8,15
20170413,25,12,13
20170417,22,11,11
20170418,23,10,13
20170419,25,11,14
20170420,23,8,15
20170421,23,8,15
20170424,23,8,15
20170425,23,8,15
20170426,23,11,12
20170427,24,9,15
20170428,24,9,15
20170501,25,10,15
20170502,23,23,0
20170503,16,0,16
20170504,19,1,18
20170505,19,4,15
20170508,19,3,16
20170509,17,17,0
20170510,0,0,0
20170511,0,0,0
20170512,15,0,15
20170515,15,15,0
20170516,0,0,0
20170517,0,0,0
20170518,0,0,0
20170519,0,0,0
20170522,0,0,0
20170523,17,0,17
20170524,16,1,15
20170525,17,17,0
20170526,15,0,15
20170530,14,0,14
20170531,17,0,17
20170601,17,4,13
20170602,18,3,15
20170605,20,5,15
20170606,18,4,14
20170607,18,3,15
20170608,18,1,17
20170609,18,4,14
20170612,20,4,16
20170613,19,6,13
20170614,19,5,14
20170615,20,6,14
20170616,20,6,14
20170619,19,4,15
20170620,18,4,14
20170621,20,7,13
20170622,15,3,12
20170623,17,4,13
20170626,17,1,16
20170627,20,4,16
20170628,20,5,15
20170629,19,5,14
20170630,20,5,15
20170703,23,6,17
20170705,22,5,17
