date,trade,sell,buy
20180706,17,7,10
20180709,12,4,8
20180710,15,6,9
20180711,11,6,5
20180712,17,8,9
20180713,14,7,7
20180716,13,3,10
20180717,17,5,12
20180718,20,9,11
20180719,17,6,11
20180720,19,7,12
20180723,16,8,8
20180724,20,5,15
20180725,21,7,14
20180726,21,10,11
20180727,19,12,7
20180730,15,7,8
20180731,20,8,12
20180801,19,11,8
20180802,18,18,0
20180803,0,0,0
20180806,0,0,0
20180807,0,0,0
20180808,0,0,0
20180809,0,0,0
20180810,0,0,0
20180813,0,0,0
20180814,0,0,0
20180815,0,0,0
20180816,0,0,0
20180817,0,0,0
20180820,0,0,0
20180821,0,0,0
20180822,0,0,0
20180823,10,0,10
20180824,13,2,11
20180827,15,4,11
20180828,16,2,14
20180829,19,5,14
20180830,16,8,8
20180831,16,16,0
20180904,0,0,0
20180905,8,0,8
20180906,10,3,7
20180907,13,3,10
20180910,13,3,10
20180911,14,4,10
20180912,15,15,0
20180913,0,0,0
20180914,0,0,0
20180917,0,0,0
20180918,13,0,13
20180919,13,13,0
20180920,8,0,8
20180921,13,3,10
20180924,12,1,11
20180925,14,3,11
20180926,18,5,13
20180927,17,5,12
20180928,18,18,0
20181001,0,0,0
20181002,0,0,0
20181003,0,0,0
