date,trade,sell,buy
20170719,22,7,15
20170720,24,11,13
20170721,22,7,15
20170724,25,11,14
20170725,22,9,13
20170726,23,7,16
20170727,23,11,12
20170728,22,8,14
20170731,24,7,17
20170801,23,7,16
20170802,25,9,16
20170803,23,10,13
20170804,20,6,14
20170807,23,4,19
20170808,23,9,14
20170809,26,9,17
20170810,23,9,14
20170811,20,7,13
20170814,22,9,13
20170816,21,7,14
20170817,19,3,16
20170818,20,6,14
20170821,19,5,14
20170822,27,9,18
20170823,20,9,11
20170824,22,6,16
20170825,21,8,13
20170828,22,10,12
20170829,20,8,12
20170830,20,7,13
20170831,22,8,14
20170901,23,9,14
20170904,21,10,11
20170905,22,8,14
20170906,23,5,18
20170907,25,7,18
20170908,23,7,16
20170911,20,8,12
20170912,26,11,15
20170913,23,7,16
20170914,26,7,19
20170915,25,7,18
20170918,23,8,15
20170919,28,12,16
20170920,22,7,15
20170921,23,10,13
20170922,23,8,15
20170925,24,8,16
20170926,23,5,18
20170927,23,9,14
20170928,23,8,15
20170929,25,7,18
20171010,23,9,14
20171011,24,9,15
20171012,19,6,13
20171013,25,5,20
20171016,21,5,16
20171017,26,10,16
20171018,24,7,17
20171019,25,14,11
20171020,24,10,14
20171023,23,7,16
