date,trade,sell,buy
20190211,24,13,11
20190212,22,9,13
20190213,23,12,11
20190214,19,11,8
20190215,18,7,11
20190218,19,11,8
20190219,21,10,11
20190220,20,11,9
20190221,21,11,10
20190222,18,7,11
20190225,19,8,11
20190226,21,12,9
20190227,18,8,10
20190228,20,11,9
20190304,17,6,11
20190305,19,9,10
20190306,18,9,9
20190307,19,6,13
20190308,19,10,9
20190311,20,12,8
20190312,20,8,12
20190313,21,9,12
20190314,21,9,12
20190315,22,12,10
20190318,21,13,8
20190319,19,9,10
20190320,18,6,12
20190321,19,11,8
20190322,15,7,8
20190325,18,6,12
20190326,16,5,11
20190327,15,5,10
20190328,17,8,9
20190329,18,8,10
20190401,17,8,9
20190402,17,6,11
20190403,17,5,12
20190404,16,5,11
20190405,17,9,8
20190408,18,7,11
20190409,16,4,12
20190410,14,3,11
20190411,17,7,10
20190412,15,5,10
20190415,15,5,10
20190416,18,8,10
20190417,17,7,10
20190418,14,7,7
20190419,16,5,11
20190422,17,8,9
20190423,17,5,12
20190424,18,5,13
20190425,15,4,11
20190426,18,5,13
20190429,19,5,14
20190430,21,6,15
20190502,18,7,11
20190503,16,7,9
20190507,17,6,11
20190508,18,8,10
20190509,16,7,9
20190510,13,5,8
