date,trade,sell,buy
20161014,21,14,7
20161017,25,18,7
20161018,22,14,8
20161019,25,16,9
20161020,23,14,9
20161021,25,18,7
20161024,25,18,7
20161025,23,14,9
20161026,25,19,6
20161027,24,14,10
20161028,24,14,10
20161031,24,18,6
20161101,24,16,8
20161102,24,14,10
20161103,27,20,7
20161104,22,12,10
20161107,24,15,9
20161108,23,15,8
20161109,22,15,7
20161110,23,17,6
20161111,21,12,9
20161114,22,10,12
20161115,21,13,8
20161116,23,11,12
20161117,22,11,11
20161118,24,11,13
20161121,21,14,7
20161122,24,13,11
20161123,25,17,8
20161124,25,17,8
20161125,20,13,7
20161128,21,9,12
20161129,21,11,10
20161130,19,14,5
20161201,24,15,9
20161202,21,15,6
20161205,20,12,8
20161206,20,9,11
20161207,20,12,8
20161208,20,11,9
20161209,23,14,9
20161212,23,15,8
20161213,25,18,7
20161214,20,9,11
20161215,20,12,8
20161216,19,11,8
20161219,18,11,7
20161220,20,10,10
20161221,23,13,10
20161222,24,12,12
20161223,25,15,10
20161226,21,11,10
20161227,22,14,8
20161228,21,15,6
20161229,16,12,4
20170102,18,12,6
20170103,15,6,9
20170104,19,9,10
20170105,16,9,7
20170106,20,9,11
20170109,21,9,12
20170110,21,14,7
