date,trade,sell,buy
20170719,19,7,12
20170720,19,5,14
20170721,19,3,16
20170724,17,2,15
20170725,16,3,13
20170726,14,4,10
20170727,15,1,14
20170728,14,5,9
20170731,18,7,11
20170801,17,4,13
20170802,16,5,11
20170803,16,2,14
20170804,18,4,14
20170807,15,3,12
20170808,19,4,15
20170809,18,3,15
20170810,19,5,14
20170811,16,3,13
20170814,19,3,16
20170816,16,1,15
20170817,17,4,13
20170818,16,2,14
20170821,18,4,14
20170822,14,2,12
20170823,19,4,15
20170824,17,4,13
20170825,15,3,12
20170828,15,4,11
20170829,15,2,13
20170830,18,1,17
20170831,12,3,9
20170901,17,1,16
20170904,15,0,15
20170905,14,2,12
20170906,16,4,12
20170907,16,0,16
20170908,14,1,13
20170911,18,1,17
20170912,14,2,12
20170913,14,1,13
20170914,15,2,13
20170915,12,0,12
20170918,15,1,14
20170919,13,0,13
20170920,14,1,13
20170921,14,0,14
20170922,19,0,19
20170925,15,1,14
20170926,16,1,15
20170927,15,0,15
20170928,13,0,13
20170929,16,1,15
20171010,15,2,13
20171011,13,1,12
20171012,16,0,16
20171013,13,2,11
20171016,16,0,16
20171017,16,1,15
20171018,15,1,14
20171019,14,1,13
20171020,12,0,12
20171023,17,2,15
