date,trade,sell,buy
20170112,27,13,14
20170113,27,14,13
20170116,26,12,14
20170117,24,10,14
20170118,24,9,15
20170119,25,8,17
20170120,25,10,15
20170123,24,10,14
20170124,23,9,14
20170125,24,13,11
20170126,24,8,16
20170131,23,8,15
20170201,23,8,15
20170202,24,8,16
20170203,24,8,16
20170206,25,9,16
20170207,25,9,16
20170208,23,10,13
20170209,23,11,12
20170210,24,9,15
20170213,23,9,14
20170214,22,7,15
20170215,22,7,15
20170216,20,5,15
20170217,20,5,15
20170220,19,5,14
20170221,20,6,14
20170222,19,7,12
20170223,20,7,13
20170224,19,6,13
20170227,19,5,14
20170228,23,7,16
20170302,20,6,14
20170303,20,7,13
20170306,21,5,16
20170307,19,5,14
20170308,19,5,14
20170309,19,3,16
20170310,18,3,15
20170313,18,3,15
20170314,16,1,15
20170315,18,3,15
20170316,18,5,13
20170317,20,6,14
20170320,18,5,13
20170321,18,5,13
20170322,18,5,13
20170323,18,5,13
20170324,18,5,13
20170327,18,3,15
20170328,19,6,13
20170329,18,6,12
20170330,17,5,12
20170331,18,4,14
20170403,19,5,14
20170404,17,4,13
20170405,18,4,14
20170406,18,4,14
20170407,19,4,15
20170410,18,4,14
20170411,18,5,13
20170412,19,5,14
